Title,Date,Rating,Genre,Director,IMDB
Barry Lyndon,1/1/2014,5,Drama,Stanley Kubrick,http://www.imdb.com/title/tt0072684/
Beware of Mr Baker,1/3/2014,4,Documentary,Jay Bulger,http://www.imdb.com/title/tt1931388/
Papadopoulos & Sons,1/4/2014,2,Drama,Marcus Markou,http://www.imdb.com/title/tt2006810/
Irvine Welsh's Ecstasy,1/5/2014,2,Drama,Rob Heydon,http://www.imdb.com/title/tt1809287/
Hummingbird,1/6/2014,3,Drama,Steven Knight,http://www.imdb.com/title/tt1893256/
Stolen,1/8/2014,2,Action,Simon West,http://www.imdb.com/title/tt1656186/
Weekender,1/8/2014,1,Drama,Karl Golden,http://www.imdb.com/title/tt1706470/
Lovelace,1/9/2014,2,Drama,"Rob Epstein, Jeffrey Friedman",http://www.imdb.com/title/tt1426329/
The Rise and Fall of a White Collar Hooligan,1/10/2014,1,Drama,Paul Tanter,http://www.imdb.com/title/tt2121377/
Killing Bono,1/11/2014,3,Comedy,Nick Hamm,http://www.imdb.com/title/tt1535101/
The Iceman,1/13/2014,3,Biography,Ariel Vromen,http://www.imdb.com/title/tt1491044/
Dragonslayer,1/14/2014,2,Documentary,Tristan Patterson,http://www.imdb.com/title/tt1633989/
The House I Live In,1/15/2014,3,Documentary,Eugene Jarecki,http://www.imdb.com/title/tt2125653/
Bachelorette,1/17/2014,2,Drama,Leslye Headland,http://www.imdb.com/title/tt1920849/
Ordinary Decent Criminal,1/17/2014,1,Crime,Thaddeus O'Sullivan,http://www.imdb.com/title/tt0160611/
Anton Corbijn Inside Out,1/21/2014,2,Documentary,Klaartje Quirijns,http://www.imdb.com/title/tt2101314/
Fast Times at Ridgemont High,1/22/2014,3,Comedy,Amy Heckerling,http://www.imdb.com/title/tt0083929/
Taking Woodstock,1/23/2014,2,Comedy,Ang Lee,http://www.imdb.com/title/tt1127896/
Hansel & Gretel: Witch Hunters,1/25/2014,3,Action,Tommy Wirkola,http://www.imdb.com/title/tt1428538
The Hobbit: An Unexpected Journey,1/26/2014,3,Adventure,Peter Jackson,http://www.imdb.com/title/tt0903624/
A Complete History of My Sexual Failures,1/28/2014,2,Documentary,Chris Waitt,http://www.imdb.com/title/tt1037033/
