Title,Date,Rating,Genre,Director,IMDB
The Damned United,05/01/2010,4,Biography,Tom Hooper,http://www.imdb.com/title/tt1226271/
Milk,05/01/2010,4,Biography,Gus Van Sant,http://www.imdb.com/title/tt1013753/
Underworld - Rise of the Lycans,06/01/2010,2,Action,Patrick Tatopoulos,http://www.imdb.com/title/tt0834001/
Heartlands,11/01/2010,3,Comedy,Damien O'Donnell,http://www.imdb.com/title/tt0295303/
The Moguls,14/01/2010,1,Comedy,Michael Traeger,http://www.imdb.com/title/tt0405163/
Year One,14/01/2010,2,Adventure,Harold Ramis,http://www.imdb.com/title/tt1045778/
Red Road,23/01/2010,4,Drama,Andrea Arnold,http://www.imdb.com/title/tt0471030/
Che - Part One,28/01/2010,3,Biography,Steven Soderbergh,http://www.imdb.com/title/tt0892255/
Gomorrah,12/02/2010,3,Crime,Matteo Garrone,http://www.imdb.com/title/tt0929425/
Diner,16/02/2010,3,Drama,Barry Levinson,http://www.imdb.com/title/tt0083833/
The Sentinel,16/02/2010,2,Action,Clark Jackson,http://www.imdb.com/title/tt0443632/
Terminator - Salvation,24/02/2010,3,Action,McG,http://www.imdb.com/title/tt0438488/
Doomsday,27/02/2010,3,Action,Neil Marshall,http://www.imdb.com/title/tt0483607/
Fish Tank,08/03/2010,4,Drama,Andrea Arnold,http://www.imdb.com/title/tt1232776/
Caramel,11/03/2010,3,Comedy,Nadine Labaki,http://www.imdb.com/title/tt0825236/
Changeling,11/03/2010,3,Drama,Clint Eastwood,http://www.imdb.com/title/tt0824747/
Funny Games,16/03/2010,3,Crime,Michael Haneke,http://www.imdb.com/title/tt0808279/
Le Chateau De Ma Mere,20/03/2010,3,Adventure,Yves Robert,http://www.imdb.com/title/tt0099266/
Stardust,25/03/2010,3,Adventure,Matthew Vaughan,http://www.imdb.com/title/tt0486655/
Synecdoche New York,25/03/2010,3,Drama,Charlie Kaufman,http://www.imdb.com/title/tt0383028/
The Hangover,29/03/2010,3,Comedy,Todd Phillips,http://www.imdb.com/title/tt1119646/
Copying Beethoven,02/04/2010,2,Biography,Agnieszka Holland,http://www.imdb.com/title/tt0424908/
The Flock,02/04/2010,2,Crime,Wai-keung Lau,http://www.imdb.com/title/tt0473356/
Rocket Science,08/04/2010,2,Comedy,Jeffrey Blitz,http://www.imdb.com/title/tt0477078/
Red Eye,12/04/2010,2,Thriller,Wes Craven,http://www.imdb.com/title/tt0421239/
The Girlfriend Experience,14/04/2010,2,Drama,Steven Soderbergh,http://www.imdb.com/title/tt1103982/
Transsiberian,14/04/2010,2,Crime,Brad Anderson,http://www.imdb.com/title/tt0800241/
Doghouse,18/04/2010,2,Comedy,Jake West,http://www.imdb.com/title/tt1023500/
Les Visiteurs,18/04/2010,3,Comedy,Jean-Marie Poir»,http://www.imdb.com/title/tt0108500/
Funny Games,19/04/2010,4,Crime,Michael Haneke,http://www.imdb.com/title/tt0119167/
Les Visiteurs 2 - Les Couloirs Du Temps,22/04/2010,2,Comedy,Jean-Marie Poir»,http://www.imdb.com/title/tt0120882/
The Men Who Stare at Goats,27/04/2010,3,Comedy,Grant Heslov,http://www.imdb.com/title/tt1234548/
An Education,29/04/2010,3,Drama,Lone Scherfig,http://www.imdb.com/title/tt1174732/
The Time Traveler's Wife,03/05/2010,3,Drama,Robert Schwentke,http://www.imdb.com/title/tt0452694/
The Firm,04/05/2010,3,Drama,Nick Love,http://www.imdb.com/title/tt1313113/
Sex and Drugs and Rock & Roll,09/05/2010,4,Biography,Mat Whitecross,http://www.imdb.com/title/tt1393020/
The Hurt Locker,10/05/2010,4,Drama,Kathryn Bigelow,http://www.imdb.com/title/tt0887912/
44 Inch Chest,13/05/2010,2,Crime,Malcolm Venville,http://www.imdb.com/title/tt0914837/
Tenderness,13/05/2010,3,Crime, John Polson,http://www.imdb.com/title/tt0494864/
The Nines,17/05/2010,1,Drama,John August,http://www.imdb.com/title/tt0810988/
Romanzo Criminale,17/05/2010,4,Crime,Michele Placido,http://www.imdb.com/title/tt0418110/
Knowing,20/05/2010,3,Action,Alex Proyas,http://www.imdb.com/title/tt0448011/
The Matador,20/05/2010,3,Comedy,Alex Shepard,http://www.imdb.com/title/tt0365485/
Franklyn,24/05/2010,4,Drama, Gerald McMorrow,http://www.imdb.com/title/tt0893402/
