Title,Date,Rating,Genre,Director,IMDB
Joe Strummer - The Future Is Unwritten,1/2/2008,4,Documentary,Julien Temple,http://www.imdb.com/title/tt0800099/
Shrek the Third,1/5/2008,2,Animation,"Chris Miller, Raman Hui",http://www.imdb.co.uk/title/tt0413267/
CachÈ,1/11/2008,4,Drama,Michael Haneke,http://www.imdb.co.uk/title/tt0387898/
Who Killed The Electric Car?,1/11/2008,4,Documentary,Chris Paine,http://www.imdb.com/title/tt0489037/
The Bourne Ultimatum,1/17/2008,5,Action,Paul Greengrass,http://www.imdb.com/title/tt0440963/
The Departed,1/22/2008,4,Crime,Martin Scorsese,http://www.imdb.com/title/tt0407887/
No Man's Land,1/25/2008,3,Drama,Danis Tanovic,http://www.imdb.com/title/tt0283509/
Empire Records,1/29/2008,3,Comedy,Allan Moyle,http://www.imdb.com/title/tt0112950/
Evan Almighty,1/29/2008,2,Comedy,Tom Shadyac,http://www.imdb.co.uk/title/tt0413099/
L'emploi du temps,1/29/2008,3,Drama,Laurent Cantet,http://www.imdb.com/title/tt0279065/
Blades of Glory,2/5/2008,3,Comedy,"Josh Gordon, Will Speck",http://www.imdb.co.uk/title/tt0445934/
Spanking the Monkey,2/5/2008,2,Comedy,David O. Russell,http://www.imdb.com/title/tt0111252/
I Want Candy,2/9/2008,3,Comedy,Stephen Surjik,http://www.imdb.com/title/tt0791309/
Marie-Antoinette,2/9/2008,3,Biography,Sofia Coppola,http://www.imdb.com/title/tt0422720/
A Prairie Home Companion,2/12/2008,3,Comedy,Robert Altman,http://www.imdb.com/title/tt0420087/
Atonement,2/19/2008,5,Drama,Joe Wright,http://www.imdb.co.uk/title/tt0783233/
Betty Fisher And Other Stories,2/19/2008,2,Comedy,Claude Miller,http://www.imdb.com/title/tt0269329/
Knocked Up,2/19/2008,3,Comedy,Judd Aptow,http://www.imdb.com/title/tt0478311/
Outlaw,2/26/2008,2,Action,Nick Love,http://www.imdb.com/title/tt0758771/
3:10 to Yuma,2/27/2008,4,Action,James Mangold,http://www.imdb.co.uk/title/tt0381849/
Open Season,2/27/2008,3,Animation,"Roger Allers, Jill Culton",http://www.imdb.co.uk/title/tt0400717/
Alpha Dog,2/29/2008,3,Biography,Nick Cassavetes,http://www.imdb.com/title/tt0426883/
The Kingdom,3/3/2008,4,Action,Peter Berg,http://www.imdb.co.uk/title/tt0431197/
Control,3/5/2008,5,Biography,Anton Corbijn,http://www.imdb.com/title/tt0421082/
