Title,Date,Rating,Genre,Director,IMDB
All This Mayhem,5/21/2015,4,Documentary,Eddie Martin,http://www.imdb.com/title/tt2938416/
Ray Harryhausen: Special Effects Titan,5/22/2013,3,Documentary,Gilles Penso,http://www.imdb.com/title/tt1839590/
Mad Max: Fury Road,5/22/2015,4,Action,George Miller,http://www.imdb.com/title/tt1392190/
Bande de filles,5/22/2015,3,Drama,Céline Sciamma,http://www.imdb.com/title/tt3655522/
Snowpiercer,5/22/2015,2,Action,Joon-ho Bong,http://www.imdb.com/title/tt1706620/
Das wilde Leben,5/22/2015,2,Biography,Achim Bornhak,http://www.imdb.com/title/tt0764639/
Tomorrowland,5/23/2015,3,Adventure,Brad Bird,http://www.imdb.com/title/tt1964418/
Ex Machina,5/25/2015,4,Sci-Fi,Alex Garland,http://www.imdb.com/title/tt0470752/
The Gambler,5/25/2015,2,Drama,Rupert Wyatt,http://www.imdb.com/title/tt2039393/
Good Ol' Freda,5/29/2015,2,Biography,Ryan White,http://www.imdb.com/title/tt2505938/
Easy Money II: Hard to Kill,5/29/2015,3,Crime,Babak Najafi,http://www.imdb.com/title/tt1588342/
The Great Gatsby,6/4/2015,3,Drama,Baz Luhrmann,http://www.imdb.com/title/tt1343092/
Rome,6/5/2015,3,Drama,"William J. MacDonald, John Milius",http://www.imdb.com/title/tt0384766/
Jurassic World,6/12/2015,3,Action,Colin Trevorrow,http://www.imdb.com/title/tt0369610/
Pimp,6/12/2015,1,Thriller,Robert Cavanah,http://www.imdb.com/title/tt1460643/
A Good Day to Die Hard,6/13/2015,2,Action,John Moore,http://www.imdb.com/title/tt1606378/
Austin to Boston,6/14/2015,3,Documentary,James Marcus Haney,http://www.imdb.com/title/tt3722248/
Palo Alto,6/19/2015,2,Drama,Gia Coppola,http://www.imdb.com/title/tt2479800/
Private Parts,6/30/2015,2,Biography,Betty Thomas,http://www.imdb.com/title/tt0119951/
Black Rock,7/1/2015,1,Horror,Katie Aselton,http://www.imdb.com/title/tt1930294/
Deadfall,7/3/2015,2,Drama,Stefan Ruzowitzky,http://www.imdb.com/title/tt1667310/
The Prince,7/4/2015,2,Action,Brian A Miller,http://www.imdb.com/title/tt1085492/
Hector and the Search for Happiness,7/16/2015,3,Comedy,Peter Chelsom,http://www.imdb.com/title/tt1626146/
Joy Division,7/17/2015,2,Drama,Reg Traviss,http://www.imdb.com/title/tt0462373/
American Grindhouse,7/18/2015,3,Documentary,Elijah Drenner,http://www.imdb.com/title/tt1307861/
Ghost Blues: The Story of Rory Gallagher,7/18/2015,3,Documentary,Ian Thuillier,http://www.imdb.com/title/tt4190952/
The 100-Year-Old Man Who Climbed Out the Window and Disappeared,7/23/2015,3,Comedy,Felix Herngren,http://www.imdb.com/title/tt2113681/
Pacific Rim,7/26/2015,3,Action,Guillermo del Toro,http://www.imdb.com/title/tt1663662/
Pain and Gain,7/26/2015,2,Comedy,Michael Bay,http://www.imdb.com/title/tt1980209/
Cry Baby: The Pedal that Rocks the World,7/28/2015,2,Documentary,"Max Baloian, Joey Tosi",http://www.imdb.com/title/tt1843884/
The Eichmann Show,7/29/2015,3,Drama,Paul Andrew Williams,http://www.imdb.com/title/tt4163668/
Star Wars: Episode V - The Empire Strikes Back,8/5/2015,4,Action,Irvin Kershner,http://www.imdb.com/title/tt0080684/
Paddington,8/8/2015,3,Comedy, Paul King,http://www.imdb.com/title/tt1109624/
Man of Steel,8/14/2015,3,Action,Zack Snyder,http://www.imdb.com/title/tt0770828/
The Aviator,8/17/2015,3,Biography,Martin Scorsese,http://www.imdb.com/title/tt0338751/
The Heart of Bruno Wizard,8/21/2015,3,Documentary,Elisabeth Rasmussen,http://www.imdb.com/title/tt4011090/
How to Sell a Banksy,8/21/2015,2,Documentary,"Christopher Thompson, Alper Cagatay",http://www.imdb.com/title/tt1865403/
Spike Island,8/28/2015,2,Drama,Mat Whitecross,http://www.imdb.com/title/tt1827579/
Motivation 2: The Chris Cole Story,9/2/2015,3,Documentary,Adam Bhala Lough,http://www.imdb.com/title/tt4397414/
The F Word,9/6/2015,3,Comedy,Michael Dowse,http://www.imdb.com/title/tt1486834
Narcos,9/6/2015,3,Crime,"Chris Brancato, Carlo Bernard, Doug Miro, Paul Eckstein",http://www.imdb.com/title/tt2707408/
The Hobbit: The Battle of the Five Armies,9/7/2015,3,Adventure,Peter Jackson,http://www.imdb.com/title/tt2310332/
The Hundred-Foot Journey,9/8/2015,3,Comedy, Lasse Hallström,http://www.imdb.com/title/tt2980648/
Nas: Time Is Illmatic,9/12/2015,2,Documentary,One9,http://www.imdb.com/title/tt3549508/
Rubble Kings,9/18/2015,4,Documentary,Shan Nicholson,http://www.imdb.com/title/tt1730714/
Keith Richards: Under the Influence,9/18/2015,3,Documentary,Morgan Neville,http://www.imdb.com/title/tt4900018/
Narco Cultura,9/19/2015,3,Documentary,Shaul Schwarz,http://www.imdb.com/title/tt2504022/
Being Elmo: A Puppeteer's Journey,9/19/2015,3,Documentary,Constance Marks,http://www.imdb.com/title/tt1787660/
The Young and Prodigious T.S. Spivet,9/25/2015,3,Adventure,Jean-Pierre Jeunet,http://www.imdb.com/title/tt1981107/
A Most Violent Year,9/25/2015,3,Crime,J.C. Chandor,http://www.imdb.com/title/tt2937898/
The Wolverine,10/8/2015,3,Action,James Mangold,http://www.imdb.com/title/tt1430132/
The Martian,10/11/2015,4,Sci-fi,Ridley Scott,http://www.imdb.com/title/tt3659388/
Nightcrawler,10/16/2015,3,Crime,Dan Gilroy,http://www.imdb.com/title/tt2872718/
Hill Street,10/17/2015,3,Documentary,Jj Rolfe,http://www.imdb.com/title/tt2309991/
Runner Runner,10/24/2015,2,Crime,Brad Furman,http://www.imdb.com/title/tt2364841/
Mr.Robot,10/24/2015,4,Crime,Sam Esmail,http://www.imdb.com/title/tt4158110/
Blue Jasmine,10/25/2015,2,Drama,Woody Allen,http://www.imdb.com/title/tt2334873/
Suffragette,10/26/2015,3,Drama,Sarah Gavron,http://www.imdb.com/title/tt3077214/
From Bedrooms to Billions,10/27/2015,4,Documentary,"Anthony Caulfield, Nicola Caulfield",http://www.imdb.com/title/tt2404567/
Art & Copy,11/2/2015,3,Documentary,Doug Pray,http://www.imdb.com/title/tt1333631/
I Am Ali,11/6/2015,4,Documentary,Clare Lewins,http://www.imdb.com/title/tt4008652/
