Title,Date,Rating,Genre,Director,IMDB
Windtalkers,04/01/2005,3,Action,John Woo,http://www.imdb.com/title/tt0245562/
Phone Booth,05/01/2005,4,Thriller,Joel Schumacher,http://www.imdb.com/title/tt0183649/
Around The World In 80 Days,10/01/2005,1,Action,Frank Coraci,http://www.imdb.com/title/tt0327437/
Seabiscuit,10/01/2005,4,Drama,Gaey Ross,http://www.imdb.com/title/tt0329575/
The Last Minute,18/01/2005,1,Drama,Stephen Norrington,http://www.imdb.com/title/tt0275468/
Hidalgo,19/01/2005,4,Action, Joe Johnston,http://www.imdb.com/title/tt0317648/
Spellbound,21/01/2005,1,Documentary, Jeffrey Blitz,http://www.imdb.com/title/tt0334405/
Adaptation.,27/01/2005,1,Comedy, Spike Jonze,http://www.imdb.com/title/tt0268126/
Whale Rider,01/02/2005,5,Drama,Niki Caro,http://www.imdb.com/title/tt0298228/
Matchstick Men,03/02/2005,3,Comedy,Ridley Scott,http://www.imdb.com/title/tt0325805/
Cold Mountain,07/02/2005,4,Drama,Anthony Minghella,http://www.imdb.com/title/tt0159365/
Shrek 2,08/02/2005,4,Animation,Andrew Adamson,http://www.imdb.com/title/tt0298148/
Blow,14/02/2005,3,Biography,Ted Demme,http://www.imdb.com/title/tt0221027/
King Arthur,14/02/2005,3,Action,Antoine Fuqua,http://www.imdb.com/title/tt0349683/
Donnie Brasco,23/02/2005,4,Biography,Mike Newell,http://www.imdb.com/title/tt0119008/
Eternal Sunshine Of The Spotless Mind,28/02/2005,4,Drama,Michel Gondry,http://www.imdb.com/title/tt0338013/
Troy,28/02/2005,1,Adventure,Wolfdang Pederson,http://www.imdb.com/title/tt0332452/
I Robot,02/03/2005,3,Action,Alex Proyas,http://www.imdb.com/title/tt0343818/
Lock Stock And Two Smoking Barrels,07/03/2005,3,Crime,Guy Ritchie,http://www.imdb.com/title/tt0120735/
Spider-Man,08/03/2005,3,Action,Sam Raimi,http://www.imdb.com/title/tt0145487/
Catwoman,10/03/2005,1,Action,Pitof,http://www.imdb.com/title/tt0327554/
