Title,Date,Rating,Genre,Director,IMDB
Red Lights,1/6/2013,3,Drama,Rodrigo Cortés,http://www.imdb.com/title/tt1748179/
Margin Call,1/11/2013,3,Drama,J.C. Chandor,http://www.imdb.com/title/tt1615147/
Marley,1/13/2013,3,Biography,Kevin Macdonald,http://www.imdb.com/title/tt1183919/
Incendiary,1/14/2013,2,Drama,Sharon Maguire,http://www.imdb.com/title/tt0984200/
Eames: The Architect and The Painter,1/19/2013,4,Documentary,"Jason Cohn, Bill Jersey",http://www.imdb.com/title/tt1972646/
Snow White and the Huntsman,1/20/2013,3,Adventure,Rupert Sanders,http://www.imdb.com/title/tt1735898/
Searching for Sugar Man ,1/24/2013,4,Documentary,Malik Bendjelloul,http://www.imdb.com/title/tt2125608/
Offender,1/26/2013,3,Drama,Ron Scalpello,http://www.imdb.com/title/tt1821427/
Cosmopolis,1/27/2013,3,Drama,David Cronenberg,http://www.imdb.com/title/tt1480656/
Dredd,2/1/2013,3,Action,Pete Travis,http://www.imdb.com/title/tt1343727/
The Iron Lady,2/2/2013,3,Biography,Phyllida Lloyd,http://www.imdb.com/title/tt1007029/
Total Recall,2/7/2013,2,Action,Len Wiseman,http://www.imdb.com/title/tt1386703/
Hustle and Flow,2/9/2013,2,Crime,Craig Brewer,http://www.imdb.com/title/tt0410097/
The Bourne Legacy,2/15/2013,2,Action,Tony Gilroy,http://www.imdb.com/title/tt1194173/
The Amazing Spider-Man,2/13/2013,3,Action,Marc Webb,http://www.imdb.com/title/tt0948470/
Ted,2/15/2013,3,Comedy,Seth MacFarlane,http://www.imdb.com/title/tt1637725/
The Sweeny,2/22/2013,3,Action,Nick Love,http://www.imdb.com/title/tt0857190/
Lawless,3/1/2013,3,Crime,John Hillcoat,http://www.imdb.com/title/tt1212450/
The Sapphires,3/14/2013,3,Biography,Wayne Blair,http://www.imdb.com/title/tt1673697/
Hotel Transylvania,3/16/2013,3,Animation,Genndy Tartakovsky,http://www.imdb.com/title/tt0837562/
The Lorax,3/16/2013,3,Animation,"Chris Renaud, Kyle Balda",http://www.imdb.com/title/tt1482459/
Pusher,3/16/2013,3,Action,Luis Prieto,http://www.imdb.com/title/tt1921070/
Soliders of Fortune,3/17/2013,2,Action,Maxim Korostyshevsky,http://www.imdb.com/title/tt1678051/
Argo,3/21/2013,3,Drama,Ben Affleck,http://www.imdb.com/title/tt1024648/
Middle Men,3/22/2013,3,Crime,George Gallo,http://www.imdb.com/title/tt1251757/
Seeking a Friend for the End of the World,3/23/2013,2,Drama,Lorene Scafaria,http://www.imdb.com/title/tt1307068/
Project Nim,3/24/2103,3,Documentary,James Marsh,http://www.imdb.com/title/tt1814836/
On The Road,3/29/2013,3,Adventure,Walter Salles,http://www.imdb.com/title/tt0337692/
Intouchables,4/5/2013,4,Biography,"Olivier Nakache, Eric Toledano",http://www.imdb.com/title/tt1675434/
Room 237,4/6/2013,4,Documentary,Rodney Ascher,http://www.imdb.com/title/tt2085910/
Senna,4/16/2013,4,Documentary,Asif Kapadia,http://www.imdb.com/title/tt1424432/
The Cold Light of Day,4/20/2013,2,Action,Mabrouk El Mechri,http://www.imdb.com/title/tt1366365/
De rouille et d'os,4/24/2013,4,Drama,Jacques Audiard,http://www.imdb.com/title/tt2053425/
Legend,4/28/2013,3,Fantasy,Ridley Scott,http://www.imdb.com/title/tt0089469/
Rampage,4/29/2013,3,Documentary,George Gittoes,http://www.imdb.com/title/tt0795448/
Mission to Lars,4/30/2013,3,Documentary,"James Moore, William Spicer",http://www.imdb.com/title/tt1865450/
All Good Things,5/2/2013,2,Crime,Andrew Jarecki,http://www.imdb.com/title/tt1175709/
Ruby Sparks,5/4/2013,4,Fantasy,Zoe Kazan,http://www.imdb.com/title/tt1839492/
Tower Block,5/4/2013,2,Thriller,"James Nunn, Ronnie Thompson",http://www.imdb.com/title/tt1992258/
Silver Linings Playbook,5/5/2013,4,Comedy,David O. Russell,http://www.imdb.com/title/tt1045658/
What Richard Did,5/10/2013,3,Drama,Lenny Abrahamson,http://www.imdb.com/title/tt2092011/
The Impossible,5/17/2013,3,Drama,Juan Antonio Bayona,http://www.imdb.com/title/tt1649419/
Gangster Squad,5/18/2013,3,Action,Ruben Fleischer,http://www.imdb.com/title/tt1321870/
Les Mis™rables,5/20/2013,3,Drama,Tom Hooper,http://www.imdb.com/title/tt1707386/
Edwin Boyd: Citizen Gangster,5/21/2013,2,Crime,Nathan Morlando,http://www.imdb.com/title/tt1709654/
Jack Reacher,5/22/2013,3,Action,Christopher McQuarrie,http://www.imdb.com/title/tt0790724/
Detachment,5/25/2013,3,Drama,Tony Kaye,http://www.imdb.com/title/tt1683526/
The Watch,5/31/2013,2,Comedy,Akiva Schaffer,http://www.imdb.com/title/tt1298649/
Savages,6/2/2013,3,Crime,Oliver Stone,http://www.imdb.com/title/tt1615065/
The Life Before Her Eyes,6/7/2013,2,Drama,Vadim Perelman,http://www.imdb.com/title/tt0815178/
Life of PI,6/9/2013,4,Adventure,Ang Lee,http://www.imdb.com/title/tt0454876/
The Liability,6/22/2013,3,Thriller,Craig Viveiros,http://www.imdb.com/title/tt2081437/
Lay The Favourite,7/17/2013,2,Comedy,Stephen Frears,http://www.imdb.com/title/tt1132449/
St George's Day,7/18/2013,2,Action,Frank Harper,http://www.imdb.com/title/tt1329232/
Being Flynn,7/19/2013,3,Drama,Paul Weitz,http://www.imdb.com/title/tt0455323/
The Place Beyond the Pines,7/25/2013,3,Drama,Derek Cianfrance,http://www.imdb.com/title/tt1817273
The Incredible Burt Wonderstone,7/25/2013,2,Comedy,Don Scardino,http://www.imdb.com/title/tt0790628/
Oz The Great and Powerful,7/25/2013,1,Adventure,Sam Raimi,http://www.imdb.com/title/tt1623205/
The Guilt Trip,7/31/2013,2,Comedy,Anne Fletcher,http://www.imdb.com/title/tt1694020/
Trance,7/31/2013,3,Crime,Danny Boyle,http://www.imdb.com/title/tt1924429/
Welcome to the Punch,7/31/2013,2,Action,Eran Creevy,http://www.imdb.com/title/tt1684233/
Side Effects,7/31/2013,3,Crime,Steven Soderbergh,http://www.imdb.com/title/tt2053463/
Cloud Atlas,8/1/2013,3,Adventure,"Tom Tykwer, Andy Wachowski, Lana Wachowski",http://www.imdb.com/title/tt1371111/
Jack the Giant Slayer,8/2/2013,3,Adventure,Bryan Singer,http://www.imdb.com/title/tt1351685/
The Angels' Share,8/7/2013,3,Comedy,Ken Loach,http://www.imdb.com/title/tt1924394/
Down Terrace,8/8/2013,3,Crime,Ben Wheatley,http://www.imdb.com/title/tt1489167/
Django,8/10/2013,4,Western,Quentin Tarantino,http://www.imdb.com/title/tt1853728/
Warm Bodies,8/13/2013,3,Horror,Jonathan Levine,http://www.imdb.com/title/tt1588173/
Berberian Sound Studio ,8/17/2013,3,Drama,Peter Strickland,http://www.imdb.com/title/tt1833844/
Broken City,8/17/2013,3,Crime,Allen Hughes,http://www.imdb.com/title/tt1235522/
Pumpgirl,8/21/2013,1,Drama,Carol Moore,http://www.imdb.com/title/tt1308011/
End of Watch,8/22/2013,2,Crime,David Ayer,http://www.imdb.com/title/tt1855199/
Killer Joe,8/24/2013,3,Crime,William Friedkin,http://www.imdb.com/title/tt1726669/
The Double,8/30/2013,2,Action,Michael Brandt,http://www.imdb.com/title/tt1646980/
Angels Crest,8/31/2013,2,Thriller,Gaby Dellal,http://www.imdb.com/title/tt1559040/
The Look of Love,9/3/2013,3,Drama,Michael Winterbottom,http://www.imdb.com/title/tt1951216/
30 Minutes or Less,9/5/2013,3,Action,Ruben Fleischer,http://www.imdb.com/title/tt1622547/
Parker,9/7/2013,2,Action,Taylor Hackford,http://www.imdb.com/title/tt1904996/
Reggae in Babylon,9/8/2013,3,Documentary,Wolfgang B_ld,http://www.imdb.com/title/tt0371128/
Star Trek Into Darkness,9/13/2013,3,Sci-Fi,J.J. Abrams,http://www.imdb.com/title/tt1408101/
Mud,9/14/2013,4,Drama,Jeff Nichols,http://www.imdb.com/title/tt1935179/
X-Men: First Class,9/16/2013,3,Action,Matthew Vaughn,http://www.imdb.com/title/tt1270798/
Gimme The Loot,9/18/2013,2,Comedy,Adam Leon,http://www.imdb.com/title/tt2139919/
Carriers,9/20/2013,2,Drama,"Ølex Pastor, David Pastor",http://www.imdb.com/title/tt0806203/
Olympus Has Fallen,9/21/2013,3,Action,Antoine Fuqua,http://www.imdb.com/title/tt2302755/
Robot and Frank,9/21/2013,3,Comedy,Jake Schreier,http://www.imdb.com/title/tt1990314/
Zero Dark Thirty,9/27/2013,4,Drama,Kathryn Bigelow,http://www.imdb.com/title/tt1790885/
The Paperboy,9/29/2013,3,Thriller,Lee Daniels,http://www.imdb.com/title/tt1496422/
Trouble with the Curve,9/30/2013,3,Drama,Robert Lorenz,http://www.imdb.com/title/tt2083383/
L'ordre et la morale,10/4/2013,3,Action,Mathieu Kassovitz,http://www.imdb.com/title/tt1242521/
Byzantium,10/5/2013,3,Horror,Neil Jordan,http://www.imdb.com/title/tt1531901/
Alan Partridge: Alpha Papa,10/8/2013,2,Comedy,Declan Lowney,http://www.imdb.com/title/tt0469021/
Now You See Me,10/8/2013,3,Crime,Louis Leterrier,http://www.imdb.com/title/tt1670345/
The Internship,10/8/2013,2,Comedy,Shawn Levy,http://www.imdb.com/title/tt2234155/
World War Z,10/8/2013,3,Action,Marc Forster,http://www.imdb.com/title/tt0816711/
The Hangover Part III,10/14/2013,2,Comedy,Todd Phillips,http://www.imdb.com/title/tt1951261
Undefeated,10/14/2013,4,Documentary,"Daniel Lindsay, T.J. Martin",http://www.imdb.com/title/tt1860355/
The Great Hip Hop Hoax,10/14/2013,3,Documentary,Jeanie Finlay,http://www.imdb.com/title/tt1464783/
Inglourious Basterds,10/18/2013,4,Adventure,"Quentin Tarantino, Eli Roth",http://www.imdb.com/title/tt0361748/
Prey for Rock & Roll,10/24/2013,2,Drama,Alex Steyermark,http://www.imdb.com/title/tt0307351
Dead Men Down,10/26/2013,3,Action,Niels Arden Oplev,http://www.imdb.com/title/tt2101341/
No,10/26/2013,4,Drama,Pablo Larra_n,http://www.imdb.com/title/tt2059255/
Tu£sday,10/26/2013,1,Thriller,Sacha Bennett,http://www.imdb.com/title/tt1042570/
Oblivion,10/27/2013,4,Sci-Fi,Joseph Kosinski,http://www.imdb.com/title/tt1483013/
Small Appartments,11/1/2013,2,Comedy,Jonas _kerlund,http://www.imdb.com/title/tt1272886/
Stories We Tell,11/2/2013,3,Documentary,Sarah Polley,http://www.imdb.com/title/tt2366450/
Broken,11/2/2013,4,Drama,Rufus Norris,http://www.imdb.com/title/tt1441940/
The Dictator,11/7/2013,1,Comedy,Larry Charles,http://www.imdb.com/title/tt1645170/
Lincoln,11/8/2013,3,Biography,Steven Spielberg,http://www.imdb.com/title/tt0443272/
High Life,11/13/2013,3,Crime,Gary Yates,http://www.imdb.com/title/tt1143110/
Gravity,11/13/2013,3,Sci-Fi,Alfonso Cuarƒn,http://www.imdb.com/title/tt1454468/
A Way of Life,11/13/2013,3,Drama,Amma Asante,http://www.imdb.com/title/tt0365914/
This Is 40,11/15/2013,2,Comedy,Judd Aptow,http://www.imdb.com/title/tt1758830/
21 And Over,11/20/2013,1,Comedy,"Jon Lucas, Scott Moore",http://www.imdb.com/title/tt1711425/
Behind the Candelabra,11/26/2013,3,Biography,Steven Soderbergh,http://www.imdb.com/title/tt1291580/
The Stone Roses: Made of Stone,11/29/2013,3,Documentary,Shane Meadows,http://www.imdb.com/title/tt2126403/
Rise of the Planet of the Apes,11/29/2013,3,Action,Rupert Wyatt,http://www.imdb.com/title/tt1318514/
Indie Game: The Movie,11/30/2013,4,Documentary,"Lisanne Pajot, James Swirsky",http://www.imdb.com/title/tt1942884/
The Art of Getting By,12/1/2013,3,Drama,Gavin Wiesen,http://www.imdb.com/title/tt1645080/
Red 2,12/3/2013,2,Action,Dean Parisot,http://www.imdb.com/title/tt1821694/
Ill Manors,12/5/2013,3,Crime,Ben Drew,http://www.imdb.com/title/tt1760967/
A Field In England ,12/6/2013,3,Drama,Ben Wheatley,http://www.imdb.com/title/tt2375574/
I Give It A Year,12/6/2013,2,Drama,Dan Mazer,http://www.imdb.com/title/tt2244901/
The World's End,12/7/2013,3,Comedy,Edgar Wright,http://www.imdb.com/title/tt1213663/
Hawking,12/7/2013,3,Biography,Stephen Finnigan,http://www.imdb.com/title/tt2830416/
Saving Mr. Banks,12/8/2013,3,Biography,John Lee Hancock,http://www.imdb.com/title/tt2140373/
The Debt,12/11/2013,3,Drama,John Madden,http://www.imdb.com/title/tt1226753/
About Cherry,12/13/2013,2,Drama,Stephen Elliott,http://www.imdb.com/title/tt1945062/
Battle Los Angeles,12/14/2013,2,Sci-Fi,Jonathan Liebesman,http://www.imdb.com/title/tt1217613/
Sisters,12/21/2013,3,Horror,Brian De Palma,http://www.imdb.com/title/tt0070698/
Red Riding Hood,12/22/2013,2,Fantasy,Catherine Hardwicke,http://www.imdb.com/title/tt1486185
2 Guns,12/23/2013,3,Action,Baltasar Korm_kur,http://www.imdb.com/title/tt1272878/
Wild Bill,12/24/2013,3,Drama,Dexter Fletcher,http://www.imdb.com/title/tt1795702/
This Ain't California,12/25/2013,3,Documentary,Marten Persiel,http://www.imdb.com/title/tt2113090/
Shifty,12/25/2013,3,Drama,Eran Creevy,http://www.imdb.com/title/tt1104126/
Kick-Ass 2,12/26/2013,3,Action,Jeff Wadlow,http://www.imdb.com/title/tt1650554/
The Way Way Back,12/27/2013,4,Comedy,"Nat Faxon, Jim Rash",http://www.imdb.com/title/tt1727388/
In Time,12/27/2013,3,Sci-Fi,Andrew Niccol,http://www.imdb.com/title/tt1637688/
We're The Millers,12/28/2013,3,Comedy,Rawson Marshall Thurber,http://www.imdb.com/title/tt1723121/
The Secret Life of Walter Mitty,12/31/2013,3,Comedy,Ben Stiller,http://www.imdb.com/title/tt0359950/
