Title,Date,Rating,Genre,Director,IMDB
The Passenger,1/3/2009,3,Drama,Michelangelo Antonioni,http://www.imdb.com/title/tt0073580/
The War Zone,1/3/2009,4,Drama,Tim Roth,http://www.imdb.com/title/tt0141974/
Hancock,1/6/2009,2,Action,Peter Berg,http://www.imdb.com/title/tt0448157/
Smart People,1/6/2009,2,Comedy,Noam Murro ,http://www.imdb.com/title/tt0858479/
The Incredible Hulk,1/8/2009,2,Action,Louis Leterrier,http://www.imdb.com/title/tt0800080/
Essex Boys,1/13/2009,3,Crime,Terry Winsor,http://www.imdb.com/title/tt0191996/
Nine Queens,1/13/2009,4,Crime,Fabi·n Bielinsky,http://www.imdb.com/title/tt0247586/
10th and Wolf,1/16/2009,3,Crime,Robert Moresco,http://www.imdb.com/title/tt0360323/
The Edukators,1/20/2009,4,Action,Hans Weingartner,http://www.imdb.com/title/tt0408777/
Mr. Brooks,1/20/2009,3,Crime,Bruce A Evans,http://www.imdb.com/title/tt0780571/
The Cabinet Of Dr Caligari,1/27/2009,3,Horror,Robert Wiene,http://www.imdb.com/title/tt0010323/
Deja Vu,1/27/2009,3,Action,Tony Scott,http://www.imdb.com/title/tt0453467/
Into the Wild,1/27/2009,4,Adventure,Sean Penn,http://www.imdb.com/title/tt0758758/
Mon meilleur ami,1/31/2009,3,Comedy,Patrice Leconte,http://www.imdb.com/title/tt0778784/
In Bruges,2/3/2009,4,Comedy,Martin McDonagh,http://www.imdb.com/title/tt0780536/
Babylon,2/10/2009,4,Drama,Franco Rosso,http://www.imdb.com/title/tt0080406/
L'enfant,2/13/2009,2,Crime,"Jean-Pierre Dardenne, Luc Dardenne",http://www.imdb.com/title/tt0456396/
Kung Fu Panda,2/13/2009,4,Animation,"Mark Osborne, John Stevenson",http://www.imdb.com/title/tt0441773/
Badlands,2/17/2009,4,Crime,Terrence Malick,http://www.imdb.com/title/tt0069762/
La Balance,2/17/2009,3,Crime,Bob Swaim,http://www.imdb.com/title/tt0083611/
Somersault,2/20/2009,2,Drama,Cate Shortland,http://www.imdb.com/title/tt0381429/
Space Chimps,2/20/2009,3,Animation,Kirk De Micco,http://www.imdb.com/title/tt0482603/
WALL-E,2/20/2009,4,Animation,Andrew Stanton,http://www.imdb.com/title/tt0910970/
Charlie Bartlett,2/26/2009,3,Comedy,John Poll,http://www.imdb.com/title/tt0423977/
Shadows In The Sun,3/3/2009,3,Drama,Brad Mirman,http://www.imdb.com/title/tt0376181/
Someone Else,3/3/2009,2,Comedy,Col Spector,http://www.imdb.com/title/tt0773309/
Days Of Heaven,3/6/2009,3,Drama,Terrence Malick,http://www.imdb.com/title/tt0077405/
The Bothersome Man,3/10/2009,4,Comedy,Jens Lien,http://www.imdb.com/title/tt0808185/
Fly Me to the Moon,3/10/2009,2,Animation,Ben Stassen,http://www.imdb.com/title/tt0486321/
The Wizard Of Oz,3/10/2009,3,Adventure,Victor Fleming,http://www.imdb.com/title/tt0032138/
Felon,3/13/2009,3,Crime,Ric Roman Waugh,http://www.imdb.com/title/tt1117385/
Horton Hears a Who!,3/13/2009,4,Animation,"Jimmy Hayward, Steve Martino",http://www.imdb.com/title/tt0451079/
The Chumscrubber,3/17/2009,2,Comedy,Arie Posin,http://www.imdb.com/title/tt0406650/
Harvey,3/17/2009,4,Comedy,Henry Koster,http://www.imdb.com/title/tt0042546/
The Orphanage,3/18/2009,4,Drama, Juan Antonio Bayona,http://www.imdb.com/title/tt0464141/
Disturbia,3/21/2009,2,Drama,D.J. Caruso,http://www.imdb.com/title/tt0486822/
Sigur Ros - Heima,3/24/2009,4,Documentary,Dean DeBlois,http://www.imdb.com/title/tt1094594/
The Chronicles of Narnia - Prince Caspian,3/30/2009,3,Action,Andrew Adamson,http://www.imdb.com/title/tt0499448/
The Tracey Fragments,3/30/2009,1,Drama,Bruce McDonald,http://www.imdb.com/title/tt0801526/
The Walker,3/30/2009,2,Crime,Paul Schrader,http://www.imdb.com/title/tt0783608/
28 Weeks Later,4/3/2009,3,Horror,Juan Carlos Fresnadillo,http://www.imdb.com/title/tt0463854/
Christiane F,4/6/2009,3,Biography,Uli Edel,http://www.imdb.com/title/tt0082176/
Rabbit Proof Fence,4/6/2009,4,Adventure,Phillip Noyce,http://www.imdb.com/title/tt0252444/
La Zona,4/13/2009,3,Drama,Rodrigo Pl·,http://www.imdb.com/title/tt1039652/
Bangkok Dangerous,4/14/2009,2,Action,"Oxide Pang Chun, Danny Pang",http://www.imdb.com/title/tt0814022/
Madagascar 2 - Escape to Africa,4/15/2009,3,Animation,"Eric Darnell, Tom McGrath",http://www.imdb.com/title/tt0479952/
The Mummy - Tomb of the Dragon Emperor,4/19/2009,2,Action,Rob Cohen,http://www.imdb.com/title/tt0859163/
The Bucket List,4/20/2009,2,Comedy,Rob Reiner,http://www.imdb.com/title/tt0825232/
Open Range,4/21/2009,3,Western,Kevin Costner,http://www.imdb.com/title/tt0316356/
Sir Henry At Rawlinson End,4/21/2009,3,Comedy,Steve Roberts,http://www.imdb.com/title/tt0081520/
Shoot On Sight,4/27/2009,2,Crime,Jag Mundhra,http://www.imdb.com/title/tt1038915/
The Wackness,4/27/2009,2,Comedy,Jonathan Levine,http://www.imdb.com/title/tt1082886/
Carlito's Way,5/5/2009,4,Crime,Brian De Palma,http://www.imdb.com/title/tt0106519/
The Tale of Despereaux,5/5/2009,3,Animation," Sam Fell, Robert Stevenhagen",http://www.imdb.com/title/tt0420238/
The Dark Knight,5/8/2009,4,Action,Christopher Nolan,http://www.imdb.com/title/tt0468569/
Transporter 3,5/8/2009,3,Action,Olivier Megaton,http://www.imdb.com/title/tt1129442/
