Title,Date,Rating,Genre,Director,IMDB
The Water Diviner,01/01/2016,3,Drama,Russell Crowe,http://www.imdb.com/title/tt3007512/
Chinatown,01/01/2016,4,Drama,Roman Polanski,http://www.imdb.com/title/tt0071315/
Iron Man 3,02/01/2016,3,Action,Shane Black,http://www.imdb.com/title/tt1300854/
The Man in the High Castle, 14/01/2106,3,Drama,Frank Spotnitz,http://www.imdb.com/title/tt1740299/
Cobain: Montage of Heck,16/01/2016,3,Documentary,Brett Morgen,http://www.imdb.com/title/tt4229236/
The Wolf of Wall Street,20/01/2016,3,Biography,Martin Scorsese,http://www.imdb.com/title/tt0993846/
Getaway,21/01/2016,1,Action,Courtney Solomon,http://www.imdb.com/title/tt2167202/
The Wicker Man,23/01/2016,3,Horror,Robin Hardy,http://www.imdb.com/title/tt0070917/
