Title,Date,Rating,Genre,Director,IMDB
City Of Ghosts,13/04/2004,3,Crime,Matt Dillon,http://www.imdb.com/title/tt0164003/
Lilya 4 Ever,13/04/2004,4,Drama,Lukas Moodysson,http://www.imdb.com/title/tt0300140/
Secretary,13/04/2004,2,Comedy,Steven Shainberg,http://www.imdb.com/title/tt0274812/
Bruce Almighty,19/04/2004,2,Comedy,Tom Shadyac,http://www.imdb.com/title/tt0315327/
The League Of Extraordinary Gentlemen,19/04/2004,2,Action,Stephen Norrington,http://www.imdb.com/title/tt0311429/
Dirty Deeds,27/04/2004,2,Comedy,David Kendall,http://www.imdb.com/title/tt0407732/
Daredevil,03/05/2004,3,Action,Mark Steven Johnson,http://www.imdb.com/title/tt0287978/
Les riviÀres pourpres ,09/05/2004,2,Crime,Mathieu Kassovitz,http://www.imdb.com/title/tt0228786/
Gangs Of New York,11/05/2004,3,Drama,Martin Scorsese,http://www.imdb.com/title/tt0217505/
Signs,12/05/2004,3,Drama,M. Night Shyamalan,http://www.imdb.com/title/tt0286106/
Veronica Guerin,16/05/2004,3,Biography,Joel Schumacher,http://www.imdb.com/title/tt0312549/
Run Lola Run,18/05/2004,3,Action,Tom Tykwer,http://www.imdb.com/title/tt0130827/
Belleville Rendez-vous,20/05/2004,4,Animation,Sylvain Chomet,http://www.imdb.com/title/tt0286244/
Buffalo Soldiers,23/05/2004,2,Comedy,Gregor Jordan,http://www.imdb.com/title/tt0252299/
Underworld,24/05/2004,2,Action,Len Wiseman,http://www.imdb.com/title/tt0320691/
Fame,25/05/2004,3,Musical,Kevin Tancharoen,http://www.imdb.com/title/tt1016075/
The Pianist,26/05/2004,5,Biography,Roman Polanski,http://www.imdb.com/title/tt0253474/
Spy Kids 2 - The Island Of Lost Dreams,31/05/2004,2,Action,Robert Rodriguez,http://www.imdb.com/title/tt0287717/
Spy Kids,08/06/2004,3,Action,Robert Rodriguez,http://www.imdb.com/title/tt0227538/
Holes,13/06/2004,3,Adventure,Andrew Davis,http://www.imdb.com/title/tt0311289/
Just Visiting,15/06/2004,3,Comedy,Jean-Marie Poir»,http://www.imdb.com/title/tt0189192/
Catch Me If You Can,20/06/2004,3,Biography,Steven Spielberg,http://www.imdb.com/title/tt0264464/
Spun,21/06/2004,3,Comedy,Jonas _kerlund,http://www.imdb.com/title/tt0283003/
Black Hawk Down,27/06/2004,3,Drama,Ridley Scott,http://www.imdb.com/title/tt0265086/
Terminator 3 - Rise Of The Machines,27/06/2004,1,Action,Jonathan Mostow,http://www.imdb.com/title/tt0181852/
Amores Perros,29/06/2004,5,Drama,Alejandro Gonz∑lez I“∑rritu,http://www.imdb.com/title/tt0245712/
8 Mile,30/06/2004,3,Drama,Curtis Hanson,http://www.imdb.com/title/tt0298203/
All That Jazz,30/06/2004,2,Drama,Bob Fosse,http://www.imdb.com/title/tt0078754/
25th Hour,05/07/2004,3,Crime,Spike Lee,http://www.imdb.com/title/tt0307901/
Camp,05/07/2004,1,Musical,Todd Graff,http://www.imdb.com/title/tt0342167/
Spy Kids 3: Game Over,07/07/2004,1,Adventure,Robert Rodriguez,http://www.imdb.com/title/tt0338459/
Bend It Like Beckham,12/07/2004,3,Comedy,Gurinder Chadha,http://www.imdb.com/title/tt0286499/
Blackball,12/07/2004,1,Comedy,Tim Firth,http://www.imdb.com/title/tt0337879/
