Title,Date,Rating,Genre,Director,IMDB
The Equalizer,1/01/24,3,Action,Antoine Fuqua,https://www.imdb.com/title/tt0455944/
Boudica,1/1/24,2,Action,"Jesse V. Johnson",https://www.imdb.com/title/tt22688572/
Le monde de demain,1/2/2024,3,Drama,"Hélier Cisterne, David Elkaïm, Vincent Poymiro",https://www.imdb.com/title/tt14302518/
Het gouden uur,1/5/2024,3,Crime,Bobby Boermans,https://www.imdb.com/title/tt15562108
My Neighbor Totoro,1/6/24,4,Animation,Hayao Miyazaki,https://www.imdb.com/title/tt0096283/
Lift,1/9/2024,2,Action,F. Gary Gray,https://www.imdb.com/title/tt14371878/
Red Rocket,1/19/2024,1,Comedy,Sean Baker,https://www.imdb.com/title/tt13453006/
Lift,1/22/2024,2,Action,"F. Gary Gray",https://www.imdb.com/title/tt14371878/
The After,1/26/2024,3,Drama,Misan Harriman,https://www.imdb.com/title/tt28532006/
Killers of the Flower Moon,1/28/2024,5,Crime,Martin Scorcese,https://www.imdb.com/title/tt5537002/
Society of the Snow,1/29/2024,3,Biography,"J.A. Bayona",https://www.imdb.com/title/tt16277242/
Whiskey Tango Foxtrot,2/10/2024,3,Biography,"Glenn Ficarra, John Requa"https://www.imdb.com/title/tt3553442/
Still Crazy,2/14/2024,2,Comedy,Brian Gibson,https://www.imdb.com/title/tt0149151/
Saltburn,2/18/2024,3,Drama,Emerald Fennell,https://www.imdb.com/title/tt17351924/
The Sidemen Story,2/20/2024,2,Documentary,Luke Hyams,https://www.imdb.com/title/tt31105992/
Rebel Dread,2/22/2024,4,Documentary,"William E. Badgley",https://www.imdb.com/title/tt9174746/
The Outfit,2/23/2024,3,Crime,Graham Moore,https://www.imdb.com/title/tt14114802/
Out of Time: The Material Issue Story,2/28/2024,3,Documentary,Balin Schneider,https://www.imdb.com/title/tt11434812/
Napoleon,3/2/2024,3,Biography,Ridley Scott,https://www.imdb.com/title/tt13287846/
Money Monster,3/3/2024,3,Drama,Jodie Foster,https://www.imdb.com/title/tt2241351/
The Old Oak,3/5/2024,4,Drama,Ken Loach,https://www.imdb.com/title/tt19883634/
Father Stu,3/8/2024,2,Biography,Rosalind Ross,https://www.imdb.com/title/tt14439896/
The Monuments Men,3/10/2024,3,Drama,George Clooney,https://www.imdb.com/title/tt2177771/
WHAM!,3/12/2024,3,Documentary,Chris Smith,https://www.imdb.com/title/tt27726927/
Damsel,3/16/2024,3,Action,Juan Carlos Fresnadillo,https://www.imdb.com/title/tt13452446/
Bad Country,3/17/2024,2,Action,Chris Brinker,https://www.imdb.com/title/tt2350892/
