Title,Date,Rating,Genre,Director,IMDB
Salt,1/5/2011,3,Action,Phillip Noyce,http://www.imdb.com/title/tt0944835/
Seraphine,1/5/2011,3,Biography,Martin Provost,http://www.imdb.com/title/tt1048171/
Whip It,1/6/2011,4,Drama,Drew Barrymore,http://www.imdb.com/title/tt1172233/
Catfish,1/14/2011,3,Documentary,"Henry Joost, Ariel Schulman",http://www.imdb.com/title/tt1584016/
The Expendables,1/14/2011,2,Action,Sylvester Stallone,http://www.imdb.com/title/tt1320253/
The Last Airbender,1/18/2011,2,Action,M. Night Shyamalan,http://www.imdb.com/title/tt0938283/
Walk Hard -The Dewey Cox Story,1/18/2011,3,Comedy,Jake Kasdan,http://www.imdb.com/title/tt0841046/
Bonded by Blood,1/20/2011,2,Crime,Sacha Bennett,http://www.imdb.com/title/tt1540400/
Death Race,1/25/2011,2,Action,Paul W.S. Anderson,http://www.imdb.com/title/tt0452608/
It's A Free World,1/26/2011,3,Drama,Ken Loach,http://www.imdb.com/title/tt0807054/
La Vie En Rose,1/26/2011,3,Biography,Olivier Dahan,http://www.imdb.com/title/tt0450188/
He's Just Not That Into You,1/31/2011,3,Comedy,Ken Kwapis,http://www.imdb.com/title/tt1001508/
How to Train Your Dragon,1/31/2011,4,Animation," Dean DeBlois, Chris Sanders",http://www.imdb.com/title/tt0892769/
Resident Evil - Afterlife,2/1/2011,2,Action,Paul W.S. Anderson,http://www.imdb.com/title/tt1220634/
A Single Man,2/3/2011,3,Drama,Tom Ford,http://www.imdb.com/title/tt1315981/
The Girl who Played with Fire,2/3/2011,4,Crime,Daniel Alfredson,http://www.imdb.com/title/tt1216487/
Heavy Metal in Baghdad,2/3/2011,3,Documentary," Suroosh Alvi, Eddy Moretti",http://www.imdb.com/title/tt1092007/
Armored,2/8/2011,2,Action, NimrÛd Antal,http://www.imdb.com/title/tt0913354/
Gainsbourg,2/8/2011,4,Biography,Joann Sfar,http://www.imdb.com/title/tt1329457/
Jonah Hex,2/8/2011,3,Action,Jimmy Hayward,http://www.imdb.com/title/tt1075747/
Mr. Nice,2/11/2011,3,Biography,Bernard Rose,http://www.imdb.com/title/tt1183911/
Cats and Dogs - The Revenge of Kitty Galore,2/15/2011,3,Action,Brad Peyton,http://www.imdb.com/title/tt1287468/
Dinner for Schmucks,2/15/2011,3,Comedy,Jay Roach,http://www.imdb.com/title/tt0427152/
Shut Up! AKA Tais-Toi!,2/15/2011,3,Crime,Francis Verber,http://www.imdb.com/title/tt0310203/
Date Night,2/18/2011,2,Comedy,Shawn Levy,http://www.imdb.com/title/tt1279935/
SoulBoy,2/18/2011,3,Drama,Shimmy Marcus,http://www.imdb.com/title/tt1259227/
22 Bullets,2/22/2011,4,Action,Richard Berry,http://www.imdb.com/title/tt1167638/
Flyboys,2/22/2011,2,Action,Tony Bill,http://www.imdb.com/title/tt0454824/
The Karate Kid,2/22/2011,3,Action,Harold Zwart,http://www.imdb.com/title/tt1155076/
The Social Network,2/22/2011,4,Biography,David Fincher,http://www.imdb.com/title/tt1285016/
Grown Ups,2/25/2011,2,Comedy,Dennis Duggan,http://www.imdb.com/title/tt1375670/
Hope And Glory,2/25/2011,3,Drama,John Boorman,http://www.imdb.com/title/tt0093209/
The Game,3/1/2011,3,Drama,David Fincher,http://www.imdb.com/title/tt0119174/
Mongol,3/1/2011,3,Biography,Sergey Bodrov,http://www.imdb.com/title/tt0416044/
The Runaways,3/1/2011,3,Biography,Floria Sigismondi,http://www.imdb.com/title/tt1017451/
The Sorcerer's Apprentice ,3/1/2011,3,Action,Jon Turteltaub,http://www.imdb.com/title/tt0963966/
North Country,3/5/2011,3,Drama,Niki Caro,http://www.imdb.com/title/tt0395972/
Burke and Hare,3/8/2011,2,Comedy,John Landis,http://www.imdb.com/title/tt1320239/
Mary and Max,3/8/2011,4,Animation,Adam Elliot,http://www.imdb.com/title/tt0978762/
Ondine,3/11/2011,3,Drama,Neil Jordan,http://www.imdb.com/title/tt1235796/
Surrogates,3/15/2011,1,Action,Jonathan Mostow,http://www.imdb.com/title/tt0986263/
Wild Target,3/15/2011,3,Comedy,Jonathan Lynn,http://www.imdb.com/title/tt1235189/
Edgeplay - A Film About The Runaways,3/17/2011,3,Documentary,Victory Tischler-Blue,http://www.imdb.com/title/tt0216731/
Southland Tales,3/17/2011,1,Comedy,Richard Kelly,http://www.imdb.com/title/tt0405336/
Never Apologize,3/21/2011,3,Documentary,Mike Kaplan,http://www.imdb.com/title/tt1024965/
Please Give,3/21/2011,2,Comedy,Nicole Holofcener,http://www.imdb.com/title/tt0878835/
Copie conforme,3/24/2011,2,Drama,Abbas Kiarostami,http://www.imdb.com/title/tt1020773/
Tuesday,3/27/2011,1,Crime,Sacha Bennett,http://www.imdb.com/title/tt1042570/
De battre mon coeur s'est arrÍtÈ ,3/30/2011,3,Action,Jacques Audiard,http://www.imdb.com/title/tt0411270/
Maria Full Of Grace,3/30/2011,3,Crime,Joshua Marston,http://www.imdb.com/title/tt0390221/
See How They Fall,3/30/2011,2,Drama,Jacques Audiard,http://www.imdb.com/title/tt0110958/
Red,4/4/2011,3,Action,Robert Schwentke,http://www.imdb.com/title/tt1245526/
The Twilight Saga - Eclipse,4/4/2011,1,Adventure,David Slade,http://www.imdb.com/title/tt1325004/
Bright Star,4/7/2011,2,Biography,Jane Campion,http://www.imdb.com/title/tt0810784/
Law Abiding Citizen,4/11/2011,4,Crime ,F Gary Grey,http://www.imdb.com/title/tt1197624/
Alpha and Omega,4/14/2011,3,Animation,"Anthony Bell, Ben Gluck",http://www.imdb.com/title/tt1213012/
Lions for Lambs,4/14/2011,3,Drama,Robert Redford,http://www.imdb.com/title/tt0891527/
Let the Right One In,4/18/2011,3,Horror,Tomas Alfredson,http://www.imdb.com/title/tt1139797/
Takers,4/18/2011,2,Action,John Luessenhop,http://www.imdb.com/title/tt1135084/
Code inconnu: RÈcit incomplet de divers voyages,4/25/2011,2,Drama,Michael Haneke,http://www.imdb.com/title/tt0216625/
Michael Jackson - This Is It,4/25/2011,3,Documentary,Kenny Ortega,http://www.imdb.com/title/tt1477715/
Einstein And Eddington,4/26/2011,3,Drama,Philip Martin,http://www.imdb.com/title/tt0995036/
The Tourist,5/2/2011,2,Action,Florian Henckel von Donnersmarck,http://www.imdb.com/title/tt1243957/
Waltz with Bashir,5/2/2011,5,Animation,Ari Folman,http://www.imdb.com/title/tt1185616/
Ice Age 3 - Dawn of the Dinosaurs,5/6/2011,3,Animation,"Carlos Saldanha, Mike Thurmeier",http://www.imdb.com/title/tt1080016/
The Princess and the Frog,5/6/2011,3,Animation,"Ron Clements, John Musker",http://www.imdb.com/title/tt0780521/
The Man Who Wasn't There,5/9/2011,4,Crime,Joel Coen,http://www.imdb.com/title/tt0243133/
Legend of the Guardians - The Owls of Ga'Hoole,5/11/2011,3,Animation,Zack Snyder,http://www.imdb.com/title/tt1219342/
The King's Speech,5/23/2011,5,Biography,Tom Hooper,http://www.imdb.com/title/tt1504320/
The Town,5/23/2011,3,Crime,Ben Affleck,http://www.imdb.com/title/tt0840361/
Archipelago,5/31/2011,1,Drama,Joanna Hogg,http://www.imdb.com/title/tt1527835/
The Girl Who Kicked the Hornet's Nest,5/31/2011,4,Crime,Daniel Alfredson,http://www.imdb.com/title/tt1343097/
Arthur And The Great Adventure,6/3/2011,3,Animation,Luc Besson,http://www.imdb.com/title/tt0344854/
The Way Back,6/3/2011,3,Adventure,Peter Weir,http://www.imdb.com/title/tt1023114/
Mulholland Drive,6/8/2011,3,Drama,David Lynch,http://www.imdb.com/title/tt0166924/
Beyond Borders,6/11/2011,3,Drama,Martin Campbell,http://www.imdb.com/title/tt0294357/
Biutiful,6/18/2011,3,Drama,Alejandro Gonz·lez IÒ·rritu,http://www.imdb.com/title/tt1164999/
On Tour,6/22/2011,4,Drama,Mathieu Amalric,http://www.imdb.com/title/tt1451762/
Duplicity,6/24/2011,3,Thriller,Tony Gilroy,http://www.imdb.com/title/tt1135487/
I'm Still Here,6/24/2011,3,Documentary,Casey Affleck,http://www.imdb.com/title/tt1356864/
Five Minutes of Heaven,6/28/2011,2,Drama,,http://www.imdb.com/title/tt1238291/
Gone By Gone,7/1/2011,3,Drama,,http://www.imdb.com/title/tt0452623/
Blue Valentine,7/2/2011,3,Drama,,http://www.imdb.com/title/tt1120985/
Paul,7/3/2011,3,Comedy,,http://www.imdb.com/title/tt1092026/
Made In Dagenham,7/9/2011,3,Drama,,http://www.imdb.com/title/tt1371155/
The Adjustment Bureau,7/10/2011,2,Thriller,,http://www.imdb.com/title/tt1385826/
Source Code,7/16/2011,4,Thriller,,http://www.imdb.com/title/tt0945513/
Brighton Rock,7/31/2011,4,Drama,,http://www.imdb.com/title/tt0039220/
Pandorum,7/31/2011,3,Sci-fi,,http://www.imdb.com/title/tt1188729/
Bombon El Perro,8/10/2011,3,Drama,,http://www.imdb.com/title/tt0420548/
The Box,8/18/2011,1,Drama,,http://www.imdb.com/title/tt0362478/
True Grit,8/19/2011,3,Western,,http://www.imdb.com/title/tt1403865/
Wall Street: Money Never Sleeps,8/20/2011,3,Drama,,http://www.imdb.com/title/tt1027718/
Brazil,8/20/2011,5,Fantasy,,http://www.imdb.com/title/tt0088846/
Monsters,8/21/2011,3,Drama,,http://www.imdb.com/title/tt1470827/
EverybodyÇƒÙs Fine,8/25/2011,2,Drama,,http://www.imdb.com/title/tt0780511/
Knight and Day,8/26/2011,3,Action,,http://www.imdb.com/title/tt1013743/
Quadrophenia,8/27/2011,3,Drama,,http://www.imdb.com/title/tt0079766/
127 Hours,8/27/2011,4,Drama,,http://www.imdb.com/title/tt1542344/
Submarine,8/31/2011,3,Comedy,,http://www.imdb.com/title/tt1440292/
The Boys Are Back,9/3/2011,3,Drama,,http://www.imdb.com/title/tt0926380/
Sin Nombre,9/3/2011,4,Drama,,http://www.imdb.com/title/tt1127715/
LÇƒÙEnfer,9/5/2011,3,Drama,,http://www.imdb.com/title/tt0109731/
Due Date,9/10/2011,3,Comedy,,http://www.imdb.com/title/tt1231583/
The Illusionist,9/11/2011,3,Animation,,http://www.imdb.com/title/tt0775489/
Agora,9/13/2011,3,Drama,,http://www.imdb.com/title/tt1186830/
Brighton Rock,9/14/2011,4,Crime,,http://www.imdb.com/title/tt1233192/
Hall Pass,9/14/2011,2,Comedy,,http://www.imdb.com/title/tt0480687/
Iron Clad,9/16/2011,2,Action,,http://www.imdb.com/title/tt1233301/
Limitless,9/19/2011,3,Sci-fi,,http://www.imdb.com/title/tt1219289/
Attack The Block,9/23/2011,3,Action,,http://www.imdb.com/title/tt1478964/
Another Year,9/24/2011,3,Drama,,http://www.imdb.com/title/tt1431181/
Animal Kingdom,9/29/2011,4,Crime,,http://www.imdb.com/title/tt1313092/
Kontroll,10/7/2011,3,Comedy,,http://www.imdb.com/title/tt0373981/
From Time to Time,10/7/2011,3,Drama,,http://www.imdb.com/title/tt1031241/
HenryÇƒÙs Crime,10/22/2011,2,Crime,,http://www.imdb.com/title/tt1220888/
Spider,10/22/2011,3,Drama,,http://www.imdb.com/title/tt0278731/
IÇƒÙll Sleep When IÇƒÙm Dead,10/22/2011,3,Crime,,http://www.imdb.com/title/tt0319531/
Neds,10/29/2011,2,Drama,,http://www.imdb.com/title/tt1560970/
The Adventures of Tintin: The Secret of the Unicorn,10/30/2011,3,Adventure,,http://www.imdb.com/title/tt0983193/
The Mechanic,11/5/2011,3,Action,,http://www.imdb.com/title/tt0472399/
Confidence,11/6/2011,3,Crime,,http://www.imdb.com/title/tt0310910/
The Lincoln Lawyer,11/6/2011,3,Crime,,http://www.imdb.com/title/tt1189340/
Punch Drunk Love,11/9/2011,2,Comedy,,http://www.imdb.com/title/tt0272338/
Exam,11/17/2011,2,Drama,,http://www.imdb.com/title/tt1258197/
Howl,11/23/2011,2,Biography,,http://www.imdb.com/title/tt1049402/
Holy Rollers,12/1/2011,2,Biography,,http://www.imdb.com/title/tt1143896/
Meet the Parents - Little Fockers,12/3/2011,2,Comedy,,http://www.imdb.com/title/tt0970866/
Hugo,12/3/2011,4,Drama,,http://www.imdb.com/title/tt0970179/
Bridesmaids,12/4/2011,4,Comedy,,http://www.imdb.com/title/tt1478338/
5 Days fo War,12/6/2011,2,Drama,,http://www.imdb.com/title/tt1486193/
Hannah,12/11/2011,4,Action,,http://www.imdb.com/title/tt0993842/
Elizabeth Town,12/16/2011,3,Drama,,http://www.imdb.com/title/tt0368709/
Tamara Drewe,12/17/2011,3,Comdey,,http://www.imdb.com/title/tt1486190/
The Inbetweeners,12/17/2011,3,Comedy,,http://www.imdb.com/title/tt1716772/
Super8,12/17/2011,4,Sci-fi,,http://www.imdb.com/title/tt1650062/
The Hunting Party,12/22/2011,3,Drama,,http://www.imdb.com/title/tt0455782/
Season of the Witch,12/23/2011,3,Action,,http://www.imdb.com/title/tt0479997/
Thor,12/24/2011,2,Action,,http://www.imdb.com/title/tt0800369/
Harry Potter and the Deathly Hallows: Part 2,12/25/2011,3,Adventure,,http://www.imdb.com/title/tt1201607/
Green Lantern,12/31/2011,1,Adventure,,http://www.imdb.com/title/tt1133985/
Captain America: The First Avenger,12/31/2011,3,Action,,http://www.imdb.com/title/tt0458339/
