Title,Date,Rating,Genre,Director,IMDB
The Interview,1/3/2017,2,Comedy,"Evan Goldberg, Seth Rogen",http://www.imdb.com/title/tt2788710/
Green Room,1/4/2017,3,Crime,Jeremy Saulnier,http://www.imdb.com/title/tt462536/
Unbroken,1/6/2017,3,Biography,Angelina Jolie,http://www.imdb.com/title/tt189398/
The Take,1/6/2017,2,Action,James Watkins,http://www.imdb.com/title/tt2368619/
Sneakerheadz,1/7/2017,3,Documentary,"David T. Friendly, Mick Partridge",http://www.imdb.com/title/tt324784/
The Zero Theorem,7/1/2017,3,Drama,Terry Gilliam,http://www.imdb.com/title/tt233384/
Criminal,1/8/2017,2,Action,Ariel Vromen,http://www.imdb.com/title/tt314866/
Supersonic,1/10/2017,3,Documentary,Mat Whitecross,http://www.imdb.com/title/tt5213534/
Gimme Danger,1/19/2017,4,Documentary,Jim Jarmusch,http://www.imdb.com/title/tt1714917/
Dennis Hopper: Uneasy Rider,1/20/2017,3,Documentary,Hermann Vaske,http://www.imdb.com/title/tt614128/
Colors,1/27/2017,3,Crime,Dennis Hopper,http://www.imdb.com/title/tt094894/
Traders,1/27/2017,3,Thriller,"Rachael Moriarty, Peter Murphy",http://www.imdb.com/title/tt3531578/
Jaco,1/30/2017,3,Documentary," Stephen Kijak, Paul Marchand",http://www.imdb.com/title/tt2385115/
Author: The JT LeRoy Story, 2/1/2017,3,Documentary,Jeff Feuerzeig,http://www.imdb.com/title/tt5278462/
The People vs. Larry Flynt,2/2/2017,2,Biography,Milos Forman,http://www.imdb.com/title/tt117318/
Exodus: Gods and Kings,2/3/2017,2,Action,Ridley Scott,http://www.imdb.com/title/tt1528100/
The Lobster,2/4/2017,3,Drama,Yorgos Lanthimos,http://www.imdb.com/title/tt346492/
Yves Saint Laurent,2/6/2017,3,Biography,Jalil Lespert,http://www.imdb.com/title/tt277858/
Miles Ahead,2/9/2017,3,Biography,Don Cheadle,http://www.imdb.com/title/tt79770/
Wild,2/9/2017,3,Biography,Jean-Marc Vallée,http://www.imdb.com/title/tt23551/
I Am Your Father,2/10/2017,2,Documentary,"Toni Bestard, Marcos Cabotá",http://www.imdb.com/title/tt2949296/
David Brent: Life on the Road,2/14/2017,2,Comedy,Ricky Gervais,http://www.imdb.com/title/tt3137630/
Metallica: This Monster Lives,25/1/2017,3,Documentary,Joe Berlinger,http://www.imdb.com/title/tt41164/
D'Ardennen,27/1/2017,3,Drama,Robin Pront,http://www.imdb.com/title/tt2586118/
Rush: Beyond the Lighted Stage,28/1/2017,4,Documentary,"Sam Dunn, Scot McFadyen",http://www.imdb.com/title/tt154513/
"Barney's Version",2/18/2017,3,Drama,Richard J. Lewis,http://www.imdb.com/title/tt1423894/
Casablancas: The Man Who Loved Women,2/22/2017,1,Documentary,Hubert Woroniecki,http://www.imdb.com/title/tt578372/
13th,2/23/2017,4,Documentary,Ava DuVernay,http://www.imdb.com/title/tt589528/
Suburra,2/24/2017,3,Crime,Stefano Sollima,http://www.imdb.com/title/tt425514/
Blackhat,2/5/2017,2,Crime,Michael Mann,http://www.imdb.com/title/tt2717822/
I Don't Feel at Home in This World,3/2/2017,3,Crime,Macon Blair,http://www.imdb.com/title/tt571514/
Whiplash,3/4/2017,4,Drama,Damien Chazelle,http://www.imdb.com/title/tt258282/
