Title,Date,Rating,Genre,Director,IMDB
Overnight,1/4/2006,3,Documentary,"Tony Montana, Mark Brian Smith",http://www.imdb.com/title/tt0390336/
Robots,1/4/2006,4,Animation,"Chris Wedge, Carlos Saldanha",http://www.imdb.com/title/tt0358082/
Easy Riders Raging Bulls,1/9/2006,4,Documentary,Kenneth Bowser,http://www.imdb.com/title/tt0359203/
The Aviator,1/13/2006,3,Biography,Martin Scorsese,http://www.imdb.com/title/tt0338751/
The Deer Hunter,1/19/2006,5,Drama,Michael Cimino,http://www.imdb.com/title/tt0077416/
Million Dollar Baby,1/19/2006,4,Drama,Clint Eastwood,http://www.imdb.com/title/tt0405159/
The Thin Red Line,1/30/2006,5,Drama,Terrence Malick,http://www.imdb.com/title/tt0120863/
Batman Begins,1/31/2006,4,Action,Christopher Nolan,http://www.imdb.com/title/tt0372784/
The Motorcycle Diaries,2/13/2006,5,Biography,Walter Salles,http://www.imdb.com/title/tt0318462/
The Interpreter,2/16/2006,1,Thriller,Sydney Pollack,http://www.imdb.com/title/tt0373926/
Kung Fu Hustle,2/16/2006,4,Action,Stephen Chow,http://www.imdb.com/title/tt0373074/
Star Wars: Episode 3 - Revenge Of The Sith,2/23/2006,3,Sci-fi,George Lucas,http://www.imdb.com/title/tt0121766/
Racing Stripes,3/6/2006,4,Adventure,Frederik Du Chau,http://www.imdb.com/title/tt0376105/
Year Of The Dragon,3/16/2006,1,Action,Michael Cimino,http://www.imdb.com/title/tt0090350/
American Graffiti,3/20/2006,4,Comedy,George Lucas,http://www.imdb.com/title/tt0069704/
The Island,3/22/2006,3,Sci-fi,Michael Bay,http://www.imdb.com/title/tt0399201/
Kingdom Of Heaven,3/22/2006,3,Action,Ridley Scott,http://www.imdb.com/title/tt0320661/
Mr And Mrs Smith,3/26/2006,2,Action,Doug Liman,http://www.imdb.com/title/tt0356910/
Madagascar,3/29/2006,4,Animation,"Eric Darnell, Tom McGrath",http://www.imdb.com/title/tt0351283/
War Of The Worlds,4/2/2006,4,Sci-fi,Steven Spielberg,http://www.imdb.com/title/tt0407304/
Warriors Of Heaven And Earth,4/2/2006,2,Action,Ping He,http://www.imdb.com/title/tt0374330/
Last Days,4/4/2006,1,Biography,Gus Van Sant,http://www.imdb.com/title/tt0403217/
Green Street,4/9/2006,1,Crime,Lexi Alexander,http://www.imdb.com/title/tt0385002/
Oliver Twist,4/9/2006,3,Drama,Roman Polanski,http://www.imdb.com/title/tt0380599/
Lady And The Tramp,4/11/2006,4,Animation,Clyde Geronimi,http://www.imdb.com/title/tt0048280/
All I Want,4/17/2006,2,Drama,Chase Gordon,http://www.imdb.com/title/tt0479855/
Millions,4/18/2006,3,Comedy ,Danny Boyle,http://www.imdb.com/title/tt0366777/
Creep,4/25/2006,1,Horror,Christopher Smith,http://www.imdb.com/title/tt0381966/
Domino,4/25/2006,1,Biography,Tony Scott,http://www.imdb.com/title/tt0421054/
The Brothers Grimm,5/1/2006,3,Action,Terry Gilliam,http://www.imdb.com/title/tt0355295/
The Ring,5/1/2006,1,Horror,Gore Verbinski,http://www.imdb.com/title/tt0298130/
Tim Burton's Corpse Bride,5/7/2006,3,Animation,Tim Burton,http://www.imdb.com/title/tt0121164/
Coffee And Cigarettes,5/8/2006,2,Comedy,Jim Jarmusch,http://www.imdb.com/title/tt0379217/
The Polar Express,5/9/2006,4,Animation,Robert Zemeckis,http://www.imdb.com/title/tt0338348
