Title,Date,Rating,Genre,Director,IMDB
"Avicii - I'm Tim",1/1/2025,3,Documentary,Henrik Burman,https://www.imdb.com/title/tt32138523/
American Primeval,1/7/2025,3,Western,"Mark L. Smith",https://www.imdb.com/title/tt24069848/
"Bank of Dave 2: The Loan Ranger",1/11/2025,2,Drama,Chris Foggin,https://www.imdb.com/title/tt27713772/
The Six Triple Eight,1/12/2025,3,Drama,Tyler Perry,https://www.imdb.com/title/tt24458622/
Civil War,1/13/2025,3,Action,Alex Garland,https://www.imdb.com/title/tt17279496/
"Le Mans '66",1/14/2025,4,Drama,James Mangold,https://www.imdb.com/title/tt1950186/
The Miracle Club,1/17/2025,2,Drama,Thaddeus O'Sullivan,https://www.imdb.com/title/tt12712604/
Blitz,1/18/2025,3,Drama,Steve McQueen,https://www.imdb.com/title/tt15939198/
Back in Action,1/20/2025,2,Action,Seth Gordon,https://www.imdb.com/title/tt21191806/
