Title,Date,Rating,Genre,Director,IMDB
Everything Must Go,1/1/2012,2,Comedy,Dan Rush,http://www.imdb.com/title/tt1531663/
The Fighter,1/1/2012,4,Drama,David O. Russell,http://www.imdb.com/title/tt0964517/
Point Break,1/2/2012,3,Action,Kathryn Bigelow,http://www.imdb.com/title/tt0102685/
Unknown,1/4/2012,3,Thriller,Jaume Collet-Serra,http://www.imdb.com/title/tt1401152/
Unstoppable,1/6/2012,2,Action,Tony Scott,http://www.imdb.com/title/tt0477080/
Elite Squad 2 - The Enemy Within,1/6/2012,4,Crime,José Padilha,http://www.imdb.com/title/tt1555149/
Blitz,1/7/2012,3,Crime,Elliott Lester,http://www.imdb.com/title/tt1297919/
Arrietty,1/9/2012,3,Animation,Hiromasa Yonebayashi,http://www.imdb.com/title/tt1568921/
District 13,1/9/2012,4,Action,Pierre Morel,http://www.imdb.com/title/tt0414852/
Last Night,1/12/2012,2,Drama,Massy Tadjedin,http://www.imdb.com/title/tt1294688/
Kung Fu Panda 2,1/13/2012,3,Animation,Jennifer Yuh Nelson,http://www.imdb.com/title/tt1302011/
Pirates of the Caribbean: On Stranger Tides,1/14/2012,2,Action,Rob Marshall,http://www.imdb.com/title/tt1298650/
West is West,1/17/2012,3,Comedy,Andy De Emmony,http://www.imdb.com/title/tt1441956/
War Horse,1/22/2012,3,Drama,Steven Spielberg,http://www.imdb.com/title/tt1568911/
Larry Crowne,1/24/2012,2,Drama,Tom Hanks,http://www.imdb.com/title/tt1583420/
Super,1/28/2012,3,Action,James Gunn,http://www.imdb.com/title/tt1512235/
Priest,2/2/2012,2,Action,Scott Stewart,http://www.imdb.com/title/tt0822847/
Outside the Law,2/11/2012,4,Drama,Rachid Bouchareb,http://www.imdb.com/title/tt1229381/
The Beaver,2/11/2012,3,Drama,Jodie Foster,http://www.imdb.com/title/tt1321860/
District 13 - Ultimatum,2/13/2012,3,Action,Patrick Alessandrin,http://www.imdb.com/title/tt1247640/
Fortress of War,2/17/2012,3,Action,Aleksandr Kott,http://www.imdb.com/title/tt1343703/
The Artist,2/19/2012,4,Comedy,Michel Hazanavicius,http://www.imdb.com/title/tt1655442/
The Outsiders,2/19/2012,3,Drama,Francis Ford Coppola,http://www.imdb.com/title/tt0086066/
Killer Elite,2/25/2012,3,Action,Gary McKendry,http://www.imdb.com/title/tt1448755/
The Three Musketeers,3/3/2012,3,Action,Paul W.S. Anderson,http://www.imdb.com/title/tt1509767/
OSS 117: Cairo - Nest of Spies,3/3/2012,2,Comedy,Michel Hazanavicius,http://www.imdb.com/title/tt0464913/
Cowboys and Aliens,3/9/2012,3,Action,Jon Favreau,http://www.imdb.com/title/tt0409847/
Never Let Me Go,3/10/2012,3,Drama,Mark Romanek,http://www.imdb.com/title/tt1334260/
TT3D: Closer to the Edge,3/11/2012,3,Documentary,Richard de Aragues,http://www.imdb.com/title/tt1698010/
Tyrannosaur,3/17/2012,4,Drama,Paddy Considine,http://www.imdb.com/title/tt1204340/
Drive,4/1/2012,4,Thriller,Nicolas Winding Refn,http://www.imdb.com/title/tt0780504/
50/50,4/14/2012,4,Biography,Jonathan Levine,http://www.imdb.com/title/tt1306980/
Serpico,4/21/2012,4,Crime,Sidney Lumet,http://www.imdb.com/title/tt0070666/
The Doom Generation,4/28/2012,2,Action,Gregg Araki,http://www.imdb.com/title/tt0112887/
Win Win,4/28/2012,3,Comedy,Thomas McCarthy,http://www.imdb.com/title/tt1606392/
Warrior,5/5/2012,2,Drama,Gavin O'Connor,http://www.imdb.com/title/tt1291584/
Fight For Your Right Revisited,5/5/2012,4,Music,Adam Yauch,http://www.imdb.com/title/tt1791504/
Tinker Tailor Soldier Spy,5/6/2012,3,Drama,Tomas Alfredson,http://www.imdb.com/title/tt1340800/
The Rum Diary,5/11/2012,2,Drama,Bruce Robinson,http://www.imdb.com/title/tt0376136/
Mission: Impossible - Ghost Protocol,5/13/2012,3,Action,Brad Bird,http://www.imdb.com/title/tt1229238/
The Rite,5/15/2012,2,Horror,Mikael HÂfstrˆm,http://www.imdb.com/title/tt1161864/
The Devil's Double,5/15/2012,3,Biography,Lee Tamahori,http://www.imdb.com/title/tt1270262/
Hereafter,5/20/2012,3,Drama,Clint Eastwood,http://www.imdb.com/title/tt1212419/
Sherlock Holmes: A Game of Shadows,5/26/2012,3,Action,Guy Ritchie,http://www.imdb.com/title/tt1515091/
Repo Men,5/27/2012,3,Sci-fi,Miguel Sapochnik,http://www.imdb.com/title/tt1053424/
Prometheus,6/1/2012,4,Sci-fi,Ridley Scott,http://www.imdb.com/title/tt1446714/
Alien,6/2/2012,4,Sci-fi,Ridley Scott,http://www.imdb.com/title/tt0078748/
The Extraordinary Adventures of Adele Blanc-Sec,6/3/2012,3,Action,Luc Besson,http://www.imdb.com/title/tt1179025/
Real Steel,6/4/2012,3,Action,Shawn Levy,http://www.imdb.com/title/tt0433035/
Little White Lies,6/9/2012,3,Comedy,Guillaume Canet,http://www.imdb.com/title/tt1440232/
We Need to Talk About Kevin,6/11/2012,4,Drama,Lynne Ramsay,http://www.imdb.com/title/tt1242460/
Moneyball,6/16/2012,3,Biography,Bennett Miller,http://www.imdb.com/title/tt1210166/
The Guard,6/16/2012,2,Comedy,John Michael McDonagh,http://www.imdb.com/title/tt1540133/
Perfume: The Story of a Murderer,6/18/2012,3,Drama,Tom Tykwer,http://www.imdb.com/title/tt0396171/
Red State,6/23/2012,2,Horror,Kevin Smith,http://www.imdb.com/title/tt0873886/
Tower Heist,6/29/2012,3,Action,Brett Ratner,http://www.imdb.com/title/tt0471042/
The Company Men,6/30/2012,3,Drama,John Wells,http://www.imdb.com/title/tt1172991/
Underworld Awakening,7/5/2012,3,Action,"Bjˆrn Stein, MÂns MÂrlind",http://www.imdb.com/title/tt1496025/
Leaves of Grass,7/11/2012,3,Drama,Tim Blake Nelson,http://www.imdb.com/title/tt1151359/
The Girl with the Dragon Tattoo,7/14/2012,4,Drama,David Fincher,http://www.imdb.com/title/tt1568346/
Contagion,7/14/2012,2,Drama,Steven Soderbergh,http://www.imdb.com/title/tt1598778/
Haywire,7/21/2012,2,Action,Steven Soderbergh,http://www.imdb.com/title/tt1506999/
The Woman In Black,7/21/2012,3,Drama,James Watkins,http://www.imdb.com/title/tt1596365/
The Sitter,7/25/2012,2,Comedy,David Gordon Green,http://www.imdb.com/title/tt1366344/
Man On A Ledge,7/28/2012,2,Drama,Asger Leth,http://www.imdb.com/title/tt1568338/
Shame,7/28/2012,3,Drama,Steve McQueen,http://www.imdb.com/title/tt1723811/
The Dark Knight Rises,7/29/2012,4,Action,Christopher Nolan,http://www.imdb.com/title/tt1345836/
Greenberg,7/29/2012,2,Comedy,Noah Baumbach,http://www.imdb.com/title/tt1234654/
The Ides of March,7/30/2012,3,Drama,George Clooney,http://www.imdb.com/title/tt1124035/
Bullitt,8/3/2012,3,Crime,Peter Yates,http://www.imdb.com/title/tt0062765/
The Whistleblower,8/4/2012,3,Drama,Larysa Kondracki,http://www.imdb.com/title/tt0896872/
Get Him to the Greek,8/5/2012,2,Comedy,Nicholas Stoller,http://www.imdb.com/title/tt1226229/
Immortals,8/8/2012,3,Action,Tarsem Singh,http://www.imdb.com/title/tt1253864/
John Carter,8/9/2012,3,Action,Andrew Stanton,http://www.imdb.com/title/tt0401729/
A Better Life,8/10/2012,3,Drama,Chris Weitz,http://www.imdb.com/title/tt1554091/
Young Adult,8/11/2012,1,Drama,Jason Reitman,http://www.imdb.com/title/tt1625346/
The Devil and Daniel Johnston,8/11/2012,3,Documentary,Jeff Feuerzeig,http://www.imdb.com/title/tt0436231
Carnage,8/17/2012,3,Drama,Roman Polanski,http://www.imdb.com/title/tt1692486/
Delicacy,8/18/2012,3,Comedy,StÈphane Foenkinos,http://www.imdb.com/title/tt1828995/
21 Jump Street,8/24/2012,2,Comedy,Chris Miller,http://www.imdb.com/title/tt1232829/
War Horse,8/25/2012,4,Drama,Steven Spielberg,http://www.imdb.com/title/tt1568911/
The Flowers of War,8/26/2012,4,Drama,Yimou Zhang,http://www.imdb.com/title/tt1410063/
Brave,8/27/2012,3,Animation,"Brenda Chapman, Steve Purcell, Mark Andrews",http://www.imdb.com/title/tt1410063/
Rampart,9/1/2012,2,Drama,Oren Moverman,http://www.imdb.com/title/tt1640548/
Le Petit Nicholas,9/2/2012,3,Comedy,Laurent Tirard,http://www.imdb.com/title/tt1264904/
The Hunger Games,9/19/2012,3,Action,Gary Ross,http://www.imdb.com/title/tt1392170/
The Getaway,10/2/2012,3,Action,Sam Peckinpah,http://www.imdb.com/title/tt0068638/
Safe,10/8/2012,2,Action,Boaz Yakin,http://www.imdb.com/title/tt1656190/
13,10/16/2012,1,Drama,GÈla Babluani,http://www.imdb.com/title/tt0798817/
Hoop Dreams,10/20/2012,4,Documentary,Steve James,http://www.imdb.com/title/tt0110057/
Beasts of the Southern Wild,10/21/2012,4,Drama,Benh Zeitlin,http://www.imdb.com/title/tt2125435/
Skyfall,11/18/2012,3,Action,Sam Mendes,http://www.imdb.com/title/tt1074638/
Potiche,11/18/2012,3,Comedy,FranÁois Ozon,http://www.imdb.com/title/tt1521848/
Harold and Kumar Get The Munchies ,11/26/2012,1,Comedy,Danny Leiner,http://www.imdb.com/title/tt0366551/
Cockneys Vs Zombies,11/27/2012,2,Comedy,Matthias Hoene,http://www.imdb.com/title/tt1362058
The Iron Lady,11/27/2012,3,Biography,Phyllida Lloyd,http://www.imdb.com/title/tt1007029
The Rolling Stones - Stones in Exile ,11/27/2012,3,Documentary,Stephen Kijak,http://www.imdb.com/title/tt1609157/
The Devils,11/28/2012,3,Drama,Ken Russell,http://www.imdb.com/title/tt0066993/
Coriolanus,12/2/2012,3,Drama,Ralph Fiennes,http://www.imdb.com/title/tt1372686/
Bones Brigade: An Autobiography,12/2/2012,4,Documentary,Stacy Peralta,http://www.imdb.com/title/tt2129928
The Best Exotic Marigold Hotel,12/4/2012,3,Comedy,John Madden,http://www.imdb.com/title/tt1412386/
Chronicle,12/14/2012,2,Sci-Fi,Josh Trank,http://www.imdb.com/title/tt1706593/
Easy A,12/19/2012,3,Comedy,Will Gluck,http://www.imdb.com/title/tt1282140/
Patagonia,12/21/2012,3,Drama,Marc Evans,http://www.imdb.com/title/tt1020559/
Q - Desire,12/23/2012,3,Drama,Laurent Bouhnik,http://www.imdb.com/title/tt1879030/
Jason Becker: Not Dead Yet,12/24/2012,4,Documentary,Jesse Vile,http://www.imdb.com/title/tt2120779/
What We Do Is Secret,12/25/2012,2,Biography,Rodger Grossman,http://www.imdb.com/title/tt0384683/
The Kids Are All Right ,12/26/2012,3,Comedy,Lisa Cholodenko,http://www.imdb.com/title/tt0842926/
Moonrise Kingdom,12/27/2012,4,Comedy,Wes Anderson,http://www.imdb.com/title/tt1748122/
